Warranty,Category,BRAND,DETAILS, ,VAT-EX (SPCL),VAT-EX (RESELLER),VAT-INC (SRP),CURRENT BUL stocks,image_url
1YR,RAM 3200MHZ,TFORCE,Delta RGB DDR4 16gb-kit (2x8gb) white,RAM 3200MHZ - TFORCE Delta RGB DDR4 16gb-kit (2x8gb) white,"₱2,800","₱2,750.00","₱3,136.00",1,/images/components/ram 3200mhz/TFORCE Delta RGB DDR4 16gb-kit (2x8gb) white.png
1YR,RAM 3200MHZ,TFORCE,Delta RGB DDR4 32gb-kit (2x16gb) black,RAM 3200MHZ - TFORCE Delta RGB DDR4 32gb-kit (2x16gb) black,"₱3,900","₱3,850.00","₱4,368.00",1,/images/components/ram 3200mhz/TFORCE Delta RGB DDR4 32gb-kit (2x16gb) black.png
1YR,RAM 3200MHZ,TFORCE,Delta RGB DDR4 32gb-kit (2x16gb) white,RAM 3200MHZ - TFORCE Delta RGB DDR4 32gb-kit (2x16gb) white,"₱3,900","₱3,850.00","₱4,368.00",0,/images/components/ram 3200mhz/TFORCE Delta RGB DDR4 32gb-kit (2x16gb) white.png
1YR,RAM 3200MHZ,KINGSTON,FURY BEAST DDR4 8gb ,RAM 3200MHZ - KINGSTON FURY BEAST DDR4 8gb ,₱850,₱830.00,₱952.00,8,/images/components/ram 3200mhz/KINGSTON FURY BEAST DDR4 8gb.png
1YR,RAM 3600MHZ,TFORCE,DDR4 DARKZA 16GB (2x8gb),RAM 3600MHZ - TFORCE DDR4 DARKZA 16GB (2x8gb),"₱2,400","₱2,350.00","₱2,688.00",1,/images/components/ram 3600mhz/TFORCE DDR4 DARKZA 16GB (2x8gb).png
1YR,RAM 3600MHZ,TFORCE,Delta RGB DDR4 16gb kit (2x8gb) black,RAM 3600MHZ - TFORCE Delta RGB DDR4 16gb kit (2x8gb) black,"₱3,000","₱2,950.00","₱3,360.00",0,/images/components/ram 3600mhz/TFORCE Delta RGB DDR4 16gb kit (2x8gb) black.png
1YR,RAM 3600MHZ,TFORCE,Delta RGB DDR4 16gb kit (2x8gb) white,RAM 3600MHZ - TFORCE Delta RGB DDR4 16gb kit (2x8gb) white,"₱3,000","₱2,950.00","₱3,360.00",1,/images/components/ram 3600mhz/TFORCE Delta RGB DDR4 16gb kit (2x8gb) white.png
1YR,RAM 3600MHZ,TFORCE,Delta RGB DDR4 32gb kit (2x16gb) black,RAM 3600MHZ - TFORCE Delta RGB DDR4 32gb kit (2x16gb) black,"₱4,000","₱3,950.00","₱4,480.00",0,/images/components/ram 3600mhz/TFORCE Delta RGB DDR4 32gb kit (2x16gb) black.png
1YR,RAM 3600MHZ,TFORCE,Delta RGB DDR4 32gb kit (2x16gb) white,RAM 3600MHZ - TFORCE Delta RGB DDR4 32gb kit (2x16gb) white,"₱4,000","₱3,950.00","₱4,480.00",0,/images/components/ram 3600mhz/TFORCE Delta RGB DDR4 32gb kit (2x16gb) white.png
1YR,RAM 3600MHZ,TFORCE,Delta RGB DDR4 (SINGLE STICK) 32gb white,RAM 3600MHZ - TFORCE Delta RGB DDR4 (SINGLE STICK) 32gb white,"₱4,800","₱4,780.00","₱5,376.00",0,/images/components/ram 3600mhz/TFORCE Delta RGB DDR4 (SINGLE STICK) 32gb white.png
1YR,RAM 3600MHZ,LEXAR,ARES RGB DDR4 32GB KIT (2X16GB) BLACK,RAM 3600MHZ - LEXAR ARES RGB DDR4 32GB KIT (2X16GB) BLACK,"₱4,250","₱4,230.00","₱4,760.00",1,/images/components/ram 3600mhz/LEXAR ARES RGB DDR4 32GB KIT (2X16GB) BLACK.png
1YR,RAM 5200MHZ,KINGSTON,FURY BEAST DDR5 16gb (single stick),RAM 5200MHZ - KINGSTON FURY BEAST DDR5 16gb (single stick),"₱3,200","₱3,150.00","₱3,584.00",0,/images/components/ram 5200mhz/KINGSTON FURY BEAST DDR5 16gb (single stick).png
1YR,RAM 5200MHZ,TFORCE,Delta RGB DDR5 BLACK 32GB (2X16GB),RAM 5200MHZ - TFORCE Delta RGB DDR5 BLACK 32GB (2X16GB),"₱6,400","₱6,380.00","₱7,168.00",0,/images/components/ram 5200mhz/TFORCE Delta RGB DDR5 BLACK 32GB (2X16GB).png
1YR,RAM 5200MHZ,TFORCE,Delta RGB DDR5 WHITE 32GB (2X16GB),RAM 5200MHZ - TFORCE Delta RGB DDR5 WHITE 32GB (2X16GB),"₱6,400","₱6,380.00","₱7,168.00",0,/images/components/ram 5200mhz/TFORCE Delta RGB DDR5 WHITE 32GB (2X16GB).png
1YR,RAM 5600MHZ,TFORCE,Delta RGB DDR5 32GB (2X16GB) black,RAM 5600MHZ - TFORCE Delta RGB DDR5 32GB (2X16GB) black,"₱6,400","₱6,350.00","₱7,168.00",0,/images/components/ram 5600mhz/TFORCE Delta RGB DDR5 32GB (2X16GB) black.png
1YR,RAM 5600MHZ,TFORCE,Delta RGB DDR5 32GB (2X16GB) white,RAM 5600MHZ - TFORCE Delta RGB DDR5 32GB (2X16GB) white,"₱6,400","₱6,380.00","₱7,168.00",0,/images/components/ram 5600mhz/TFORCE Delta RGB DDR5 32GB (2X16GB) white.png
1YR,RAM 6000MHZ,GSKILL,TRIDENT Z5 NEO RGB 2X16GB BLK DDR5,RAM 6000MHZ - GSKILL TRIDENT Z5 NEO RGB 2X16GB BLK DDR5,"₱7,250","₱7,230.00","₱8,120.00",0,/images/components/ram 6000mhz/GSKILL TRIDENT Z5 NEO RGB 2X16GB BLK DDR5.png
1YR,RAM 6400MHZ,TFORCE,Delta RGB DDR5 BLACK 32GB (2X16GB),RAM 6400MHZ - TFORCE Delta RGB DDR5 BLACK 32GB (2X16GB),"₱6,950","₱6,940.00","₱7,784.00",0,/images/components/ram 6400mhz/TFORCE Delta RGB DDR5 BLACK 32GB (2X16GB).png
1YR,RAM DDR3,KINGSTON,1600MHZ 8gb,RAM DDR3 - KINGSTON 1600MHZ 8gb,₱630,₱610.00,₱705.60,2,/images/components/ram ddr3/KINGSTON 1600MHZ 8gb.png
1YR,RAM DDR3,ST MAGIC,1600MHZ 8gb,RAM DDR3 - ST MAGIC 1600MHZ 8gb,₱500,₱480.00,₱560.00,0,/images/components/ram ddr3/ST MAGIC 1600MHZ 8gb.png
1YR,RAM DDR3,STMAGIC,1600MHZ 8gb,RAM DDR3 - STMAGIC 1600MHZ 8gb,,-₱20.00,₱0.00,0,/images/components/ram ddr3/STMAGIC 1600MHZ 8gb.png
1YR,RAM SODIMM,KINGSPEC,SODIMM-DDR3 1600MHZ 4gb ,RAM SODIMM - KINGSPEC SODIMM-DDR3 1600MHZ 4gb ,₱750,₱700.00,₱840.00,7,/images/components/ram sodimm/KINGSPEC SODIMM-DDR3 1600MHZ 4gb.png
1YR,RAM SODIMM,LEXAR,SODIMM-DDR4 3200MHZ 8gb ,RAM SODIMM - LEXAR SODIMM-DDR4 3200MHZ 8gb ,"₱1,100","₱1,080.00","₱1,232.00",0,/images/components/ram sodimm/LEXAR SODIMM-DDR4 3200MHZ 8gb.png
1YR,RAM SODIMM,NEO FORZA,SODIMM-DDR4 3200MHZ 8gb ,RAM SODIMM - NEO FORZA SODIMM-DDR4 3200MHZ 8gb ,"₱1,200","₱1,180.00","₱1,344.00",0,/images/components/ram sodimm/NEO FORZA SODIMM-DDR4 3200MHZ 8gb.png
1YR,RAM SODIMM,SKIHOTAR,SODIMM-DDR3 1600MHZ 4gb ,RAM SODIMM - SKIHOTAR SODIMM-DDR3 1600MHZ 4gb ,₱750,₱700.00,₱840.00,0,/images/components/ram sodimm/SKIHOTAR SODIMM-DDR3 1600MHZ 4gb.png
1YR,RAM SODIMM,STORM,SODIMM-DDR3 1600MHZ 8gb,RAM SODIMM - STORM SODIMM-DDR3 1600MHZ 8gb,₱750,₱740.00,₱840.00,0,/images/components/ram sodimm/STORM SODIMM-DDR3 1600MHZ 8gb.png
1YR,RAM SODIMM,TEAM GROUP,ELITE DDR4 3200MHZ 16gb,RAM SODIMM - TEAM GROUP ELITE DDR4 3200MHZ 16gb,"₱2,050","₱2,030.00","₱2,296.00",1,/images/components/ram sodimm/TEAM GROUP ELITE DDR4 3200MHZ 16gb.png
1YR,RAM SODIMM,TEAM GROUP,ELITE DDR4 3200MHZ 32gb,RAM SODIMM - TEAM GROUP ELITE DDR4 3200MHZ 32gb,"₱3,500","₱3,450.00","₱3,920.00",0,/images/components/ram sodimm/TEAM GROUP ELITE DDR4 3200MHZ 32gb.png
1YR,RAM SODIMM,TEAM GROUP,ELITE DDR5 5600MHZ 16gb,RAM SODIMM - TEAM GROUP ELITE DDR5 5600MHZ 16gb,"₱2,750","₱2,700.00","₱3,080.00",0,/images/components/ram sodimm/TEAM GROUP ELITE DDR5 5600MHZ 16gb.png
1YR,SSD 2.5-inch,APACER,AS350 SATAIII 512GB,SSD 2.5-inch - APACER AS350 SATAIII 512GB,"₱1,750","₱1,730.00","₱1,960.00",0,/images/components/ssd 2.5-inch/APACER AS350 SATAIII 512GB.png
1YR,SSD 2.5-inch,KINGMAX,120GB,SSD 2.5-inch - KINGMAX 120GB,₱720,₱700.00,₱806.40,3,/images/components/ssd 2.5-inch/KINGMAX 120GB.png
1YR,SSD 2.5-inch,KINGMAX,480GB,SSD 2.5-inch - KINGMAX 480GB,"₱1,700","₱1,680.00","₱1,904.00",5,/images/components/ssd 2.5-inch/KINGMAX 480GB.png
1YR,SSD 2.5-inch,KINGSTON,240GB,SSD 2.5-inch - KINGSTON 240GB,"₱1,050","₱1,030.00","₱1,176.00",0,/images/components/ssd 2.5-inch/KINGSTON 240GB.png
1YR,SSD 2.5-inch,KINGSTON,120GB,SSD 2.5-inch - KINGSTON 120GB,₱800,₱800.00,₱896.00,0,/images/components/ssd 2.5-inch/KINGSTON 120GB.png
1YR,SSD 2.5-inch,LEXAR,NS10 LITE 120GB,SSD 2.5-inch - LEXAR NS10 LITE 120GB,₱780,₱760.00,₱873.60,10,/images/components/ssd 2.5-inch/LEXAR NS10 LITE 120GB.png
1YR,SSD 2.5-inch,LEXAR,NS100 2TB,SSD 2.5-inch - LEXAR NS100 2TB,"₱5,600","₱5,580.00","₱6,272.00",0,/images/components/ssd 2.5-inch/LEXAR NS100 2TB.png
1YR,SSD 2.5-inch,STORM,120gb,SSD 2.5-inch - STORM 120gb,₱600,₱580.00,₱672.00,14,/images/components/ssd 2.5-inch/STORM 120gb.png
1YR,SSD 2.5-inch,STORM,240gb,SSD 2.5-inch - STORM 240gb,₱900,₱880.00,"₱1,008.00",5,/images/components/ssd 2.5-inch/STORM 240gb.png
1YR,SSD 2.5-inch,TEAM GROUP,GX2 1TB,SSD 2.5-inch - TEAM GROUP GX2 1TB,"₱3,350","₱3,300.00","₱3,752.00",0,/images/components/ssd 2.5-inch/TEAM GROUP GX2 1TB.png
1YR,SSD 2.5-inch,TEAM GROUP,GX2 256gb,SSD 2.5-inch - TEAM GROUP GX2 256gb,"₱1,150","₱1,250.00","₱1,288.00",4,/images/components/ssd 2.5-inch/TEAM GROUP GX2 256gb.png
1YR,SSD 2.5-inch,TEAM GROUP,GX2 512gb,SSD 2.5-inch - TEAM GROUP GX2 512gb,"₱1,900","₱1,880.00","₱2,128.00",3,/images/components/ssd 2.5-inch/TEAM GROUP GX2 512gb.png
1YR,SSD 2.5-inch,TFORCE,VULCAN Z 1TB,SSD 2.5-inch - TFORCE VULCAN Z 1TB,"₱3,250","₱3,200.00","₱3,640.00",0,/images/components/ssd 2.5-inch/TFORCE VULCAN Z 1TB.png
1YR,SSD 2.5-inch,WHALEKOM,WKSA-128GB,SSD 2.5-inch - WHALEKOM WKSA-128GB,₱680,₱660.00,₱761.60,0,/images/components/ssd 2.5-inch/WHALEKOM WKSA-128GB.png
1YR,SSD 2.5-inch,WHALEKOM,WKSA-512GB,SSD 2.5-inch - WHALEKOM WKSA-512GB,"₱1,550","₱1,650.00","₱1,736.00",0,/images/components/ssd 2.5-inch/WHALEKOM WKSA-512GB.png
1YR,SSD 2.5-inch,WHALEKOM,WKSA-1TB,SSD 2.5-inch - WHALEKOM WKSA-1TB,"₱3,000","₱2,950.00","₱3,360.00",3,/images/components/ssd 2.5-inch/WHALEKOM WKSA-1TB.png
1YR,SSD 2.5-inch,WHALEKOM,WKSA-256GB,SSD 2.5-inch - WHALEKOM WKSA-256GB,₱830,₱810.00,₱929.60,19,/images/components/ssd 2.5-inch/WHALEKOM WKSA-256GB.png
1YR,SSD 2.5-inch,TFORCE,VULCAN Z 512GB,SSD 2.5-inch - TFORCE VULCAN Z 512GB,"₱1,950","₱1,930.00","₱2,184.00",0,/images/components/ssd 2.5-inch/TFORCE VULCAN Z 512GB.png
1YR,SSD M.2,TEAM GROUP,R600 MS30 128gb,SSD M.2 - TEAM GROUP R600 MS30 128gb,₱980,₱960.00,"₱1,097.60",0,/images/components/ssd m.2/TEAM GROUP R600 MS30 128gb.png
1YR,SSD NVME,LEXAR,NM790 1TB GEN4,SSD NVME - LEXAR NM790 1TB GEN4,"₱4,900","₱4,850.00","₱5,488.00",1,/images/components/ssd nvme/LEXAR NM790 1TB GEN4.png
1YR,SSD NVME,LEXAR,NM620 256GB,SSD NVME - LEXAR NM620 256GB,"₱1,650","₱1,630.00","₱1,848.00",2,/images/components/ssd nvme/LEXAR NM620 256GB.png
1YR,SSD NVME,SAMSUNG,970 EVO PLUS 1tb,SSD NVME - SAMSUNG 970 EVO PLUS 1tb,"₱6,350","₱6,330.00","₱7,112.00",0,/images/components/ssd nvme/SAMSUNG 970 EVO PLUS 1tb.png
1YR,SSD NVME,TEAM GROUP,MP33 128gb,SSD NVME - TEAM GROUP MP33 128gb,"₱1,400","₱1,380.00","₱1,568.00",0,/images/components/ssd nvme/TEAM GROUP MP33 128gb.png
1YR,SSD NVME,TEAM GROUP,MP33 256gb,SSD NVME - TEAM GROUP MP33 256gb,"₱1,245","₱1,225.00","₱1,394.40",3,/images/components/ssd nvme/TEAM GROUP MP33 256gb.png
1YR,SSD NVME,TEAM GROUP,MP33 512gb,SSD NVME - TEAM GROUP MP33 512gb,"₱1,900","₱1,850.00","₱2,128.00",6,/images/components/ssd nvme/TEAM GROUP MP33 512gb.png
1YR,SSD NVME,TEAM GROUP,MP33 PRO 512gb,SSD NVME - TEAM GROUP MP33 PRO 512gb,"₱2,300","₱2,280.00","₱2,576.00",0,/images/components/ssd nvme/TEAM GROUP MP33 PRO 512gb.png
1YR,SSD NVME,TEAM GROUP,MP33 1tb,SSD NVME - TEAM GROUP MP33 1tb,"₱3,450","₱3,420.00","₱3,864.00",0,/images/components/ssd nvme/TEAM GROUP MP33 1tb.png
1YR,SSD NVME,TEAM GROUP,MP33 PRO 2TB,SSD NVME - TEAM GROUP MP33 PRO 2TB,"₱6,450","₱6,350.00","₱7,224.00",0,/images/components/ssd nvme/TEAM GROUP MP33 PRO 2TB.png
1YR,SSD NVME,TEAM GROUP,MP33 PRO 1TB,SSD NVME - TEAM GROUP MP33 PRO 1TB,"₱3,900","₱3,850.00","₱4,368.00",4,/images/components/ssd nvme/TEAM GROUP MP33 PRO 1TB.png
1YR,SSD NVME,TFORCE,M2 2280 CARDEA Z44L PCI-E GEN 4X4 250GB,SSD NVME - TFORCE M2 2280 CARDEA Z44L PCI-E GEN 4X4 250GB,"₱1,800","₱1,770.00","₱2,016.00",0,/images/components/ssd nvme/TFORCE M2 2280 CARDEA Z44L PCI-E GEN 4X4 250GB.png
1YR,SSD NVME,WHALEKOM,256GB (2280),SSD NVME - WHALEKOM 256GB (2280),"₱1,060","₱1,040.00","₱1,187.20",0,/images/components/ssd nvme/WHALEKOM 256GB (2280).png
1YR,SSD NVME,KINGSTON,NV3 PCIe 4.0 1TB,SSD NVME - KINGSTON NV3 PCIe 4.0 1TB,"₱3,300","₱3,280.00","₱3,696.00",2,/images/components/ssd nvme/KINGSTON NV3 PCIe 4.0 1TB.png
1YR,SSD NVME,APACER,M2 PCIE 3X4 256GB,SSD NVME - APACER M2 PCIE 3X4 256GB,"₱1,400","₱1,380.00","₱1,568.00",0,/images/components/ssd nvme/APACER M2 PCIE 3X4 256GB.png
1YR,SSD NVME,TEAM GROUP,MP44L PCI-E GEN 4 2TB,SSD NVME - TEAM GROUP MP44L PCI-E GEN 4 2TB,"₱6,325","₱6,305.00","₱7,084.00",0,/images/components/ssd nvme/TEAM GROUP MP44L PCI-E GEN 4 2TB.png
1YR,SSD PORTABLE,TEAM GROUP,PD1000 USB3.2 GEN2X1 512GB,SSD PORTABLE - TEAM GROUP PD1000 USB3.2 GEN2X1 512GB,"₱3,200","₱3,150.00","₱3,584.00",0,/images/components/ssd portable/TEAM GROUP PD1000 USB3.2 GEN2X1 512GB.png
1MO,STOCK FAN ,,INTEL STOCK FAN,STOCK FAN  -  INTEL STOCK FAN,₱450,₱400.00,₱504.00,0,/images/components/stock fan/INTEL STOCK FAN.png
1YR,RAM 3200MHZ,ADATA ,XPG SPECTRIX D50 RGB 16GB /2X8GB) DDR4 3200 WITH GREY HEATSINK,RAM 3200MHZ - ADATA  XPG SPECTRIX D50 RGB 16GB /2X8GB) DDR4 3200 WITH GREY HEATSINK,,,₱0.00,0,/images/components/ram 3200mhz/ADATA XPG SPECTRIX D50 RGB 16GB /2X8GB) DDR4 3200 WITH GREY HEATSINK.png
1YR,RAM 6000MHZ,ADATA XPG,LANCER BLADE RGB (2x16gb) 32gb-kit DDR5 white,RAM 6000MHZ - ADATA XPG LANCER BLADE RGB (2x16gb) 32gb-kit DDR5 white,,,₱0.00,0,/images/components/ram 6000mhz/ADATA XPG LANCER BLADE RGB (2x16gb) 32gb-kit DDR5 white.png
1YR,GPU,ASROCK,RX 6600 CHALLENGER 8GB WHITE,GPU - ASROCK RX 6600 CHALLENGER 8GB WHITE,,,₱0.00,0,/images/components/gpu/ASROCK RX 6600 CHALLENGER 8GB WHITE.png
1YR,GPU,GIGABYTE,RX 7600XT GAMING OC 16GB ,GPU - GIGABYTE RX 7600XT GAMING OC 16GB ,,,₱0.00,0,/images/components/gpu/GIGABYTE RX 7600XT GAMING OC 16GB.png
1WK,CASE GAMING,KEYTECH,VISOR - WHITE (TEMPERED GLASS),CASE GAMING - KEYTECH VISOR - WHITE (TEMPERED GLASS),,,₱0.00,0,/images/components/case gaming/KEYTECH VISOR - WHITE (TEMPERED GLASS).png
